,imdb_id,budget,Metascore
306,tt2103254,20000000,39.0
307,tt2923316,10000000,23.0
308,tt1837709,60000000,31.0
309,tt2980592,5000000,76.0
310,tt3007512,22500000,50.0
311,tt2403021,5000000,38.0
312,tt1698641,28000000,54.0
313,tt1371150,19800000,44.0
314,tt2398231,16000000,68.0
315,tt1641841,9000000,39.0
316,tt2088003,8500000,53.0
317,tt1742044,40000000,54.0
318,tt1826590,12500000,62.0
319,tt1647668,25000000,56.0
320,tt2870708,5500000,43.0
321,tt1969062,6700000,64.0
322,tt1441395,13300000,80.0
323,tt2771372,6000000,62.0
324,tt3210686,22000000,37.0
325,tt2355495,6000000,22.0
326,tt2333804,8500000,50.0
327,tt2247476,15000000,41.0
328,tt2095649,30000000,21.0
329,tt1464191,2000000,56.0
330,tt1274586,15000000,31.0
331,tt2235779,200000,41.0
332,tt2401807,21000000,28.0
333,tt1972571,15000000,73.0
334,tt2799166,6500000,24.0
335,tt2377322,30000000,40.0
336,tt2452254,6600000,79.0
337,tt1216491,5000000,60.0
338,tt1661820,5000000,44.0
339,tt3177316,1000000,65.0
340,tt2692904,2000000,81.0
341,tt2978462,36000000,58.0
342,tt2339741,1000000,42.0
343,tt2281587,50000000,61.0
344,tt2758904,20000000,22.0
345,tt3099498,2800000,55.0
346,tt2933544,6000000,55.0
347,tt1929263,12000000,47.0
348,tt0959306,5000000,21.0
349,tt2101570,10000000,40.0
350,tt1043726,70000000,22.0
351,tt2059171,5000000,44.0
352,tt2465146,30000000,38.0
353,tt1403241,18000000,37.0
354,tt2581244,2400000,50.0
355,tt2667960,5500000,56.0
356,tt2304953,8000000,19.0
357,tt2182972,6000000,48.0
358,tt2326554,1000000,81.0
359,tt2309961,318000,56.0
360,tt3125324,7000000,73.0
361,tt3014666,5000000,25.0
362,tt2183034,13000000,53.0
363,tt2403558,2500000,40.0
364,tt2039393,25000000,55.0
365,tt1568343,2000000,59.0
366,tt2556874,10,32.0
367,tt2319580,12700000,57.0
368,tt2382396,4000000,74.0
369,tt2980708,5000000,21.0
370,tt1609479,5000000,40.0
371,tt2113659,10000000,49.0
372,tt2528814,17000000,16.0
373,tt2752758,7000000,34.0
374,tt1396523,5000000,36.0
375,tt2235108,1000000,79.0
